,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
0,147085,109374,92083,81770,67826,57980,52712,48754,42872,38352,32090,25173,23271,21692,19453,17419,16001,14839,13625,11888,10865,8092,7411,6701,6120,5442,4821,4303,3857,3467,3177,2125,1892,1689,1491,1280,1140
1,109374,109374,87694,78573,65531,56487,51441,47594,41879,37481,31369,24696,22845,21299,19085,17087,15694,14549,13366,11660,10659,7942,7283,6581,6009,5342,4734,4223,3787,3407,3124,2105,1874,1677,1482,1271,1133
2,92083,87694,92083,78742,65959,56827,51723,47871,42224,37739,31579,24830,22949,21407,19212,17207,15807,14659,13462,11751,10737,7996,7329,6630,6052,5386,4770,4256,3816,3428,3145,2104,1875,1672,1476,1269,1129
3,81770,78573,78742,81770,65879,56787,51682,47850,42181,37778,31648,24874,23000,21451,19226,17214,15808,14660,13475,11761,10741,8010,7340,6642,6064,5393,4779,4264,3822,3435,3149,2111,1879,1677,1480,1272,1133
4,67826,65531,65959,65879,67826,56348,51575,47696,42000,37596,31510,24887,23022,21456,19248,17233,15831,14676,13485,11763,10753,8019,7346,6645,6073,5398,4781,4264,3826,3440,3151,2110,1878,1678,1480,1270,1132
5,57980,56487,56827,56787,56348,57980,51325,47705,42002,37617,31546,24875,23010,21457,19239,17229,15829,14680,13480,11761,10748,8010,7333,6632,6058,5386,4770,4252,3809,3426,3138,2099,1868,1670,1474,1264,1125
6,52712,51441,51723,51682,51575,51325,52712,47546,42083,37669,31566,24876,23011,21459,19242,17232,15825,14676,13473,11761,10748,8004,7335,6640,6064,5391,4780,4261,3817,3431,3144,2105,1873,1673,1475,1269,1130
7,48754,47594,47871,47850,47696,47705,47546,48754,42044,37757,31593,24885,23005,21431,19234,17206,15810,14660,13461,11749,10751,8018,7342,6641,6071,5395,4779,4266,3823,3439,3153,2105,1873,1673,1476,1268,1129
8,42872,41879,42224,42181,42000,42002,42083,42044,42872,37563,31567,24879,23005,21460,19247,17227,15828,14678,13478,11767,10756,8006,7334,6627,6051,5380,4764,4250,3811,3428,3142,2100,1868,1667,1473,1266,1129
9,38352,37481,37739,37778,37596,37617,37669,37757,37563,38352,31391,24877,23006,21451,19231,17227,15826,14678,13481,11769,10764,8022,7348,6644,6074,5401,4786,4272,3832,3447,3159,2111,1880,1677,1480,1270,1131
10,32090,31369,31579,31648,31510,31546,31566,31593,31567,31391,32090,24744,22963,21425,19221,17207,15813,14679,13478,11782,10769,8022,7354,6651,6075,5399,4783,4271,3828,3443,3161,2114,1882,1679,1483,1272,1133
11,25173,24696,24830,24874,24887,24875,24876,24885,24879,24877,24744,25173,22957,21455,19228,17230,15837,14703,13497,11781,10781,8033,7359,6658,6077,5405,4790,4276,3836,3445,3161,2116,1886,1682,1486,1275,1136
12,23271,22845,22949,23000,23022,23010,23011,23005,23005,23006,22963,22957,23271,21314,19148,17136,15757,14623,13436,11723,10722,7992,7322,6621,6048,5383,4768,4254,3814,3428,3140,2097,1869,1665,1469,1265,1124
13,21692,21299,21407,21451,21456,21457,21459,21431,21460,21451,21425,21455,21314,21692,19150,17179,15799,14645,13465,11743,10749,8011,7341,6639,6068,5394,4776,4263,3825,3438,3151,2108,1880,1677,1481,1271,1134
14,19453,19085,19212,19226,19248,19239,19242,19234,19247,19231,19221,19228,19148,19150,19453,17130,15777,14641,13449,11734,10745,8010,7341,6639,6072,5398,4780,4267,3825,3438,3150,2101,1873,1669,1472,1263,1126
15,17419,17087,17207,17214,17233,17229,17232,17206,17227,17227,17207,17230,17136,17179,17130,17419,15763,14660,13471,11764,10751,8010,7334,6636,6064,5393,4780,4267,3829,3439,3152,2107,1875,1670,1476,1267,1126
16,16001,15694,15807,15808,15831,15829,15825,15810,15828,15826,15813,15837,15757,15799,15777,15763,16001,14579,13434,11712,10714,7972,7309,6609,6044,5374,4764,4253,3811,3431,3139,2098,1864,1667,1473,1263,1123
17,14839,14549,14659,14660,14676,14680,14676,14660,14678,14678,14679,14703,14623,14645,14641,14660,14579,14839,13419,11743,10732,7985,7317,6619,6043,5372,4757,4242,3800,3415,3129,2088,1860,1657,1464,1256,1118
18,13625,13366,13462,13475,13485,13480,13473,13461,13478,13481,13478,13497,13436,13465,13449,13471,13434,13419,13625,11674,10702,7978,7312,6613,6048,5377,4767,4255,3814,3428,3140,2095,1867,1665,1469,1261,1124
19,11888,11660,11751,11761,11763,11761,11761,11749,11767,11769,11782,11781,11723,11743,11734,11764,11712,11743,11674,11888,10704,7993,7322,6629,6054,5386,4768,4259,3822,3431,3148,2105,1874,1672,1476,1265,1129
20,10865,10659,10737,10741,10753,10748,10748,10751,10756,10764,10769,10781,10722,10749,10745,10751,10714,10732,10702,10704,10865,7970,7313,6621,6044,5376,4764,4249,3809,3425,3141,2102,1877,1675,1479,1272,1133
